OKRAJ,Akacije,DeSUS,KDS,LDS,Lipa,LZ�PV,LPR,NPS,NSi,SDS,SLS+SMS,SNS,SD,SSN,ZARES,ZP,Zeleni
5010,0,858,82,629,262,32,56,0,292,4898,232,922,4148,33,1850,41,53
5011,0,1082,37,649,353,34,96,0,144,3709,678,1361,4261,25,648,0,60
6001,0,1256,35,360,99,29,27,0,474,2595,2603,575,4379,54,927,17,51
6002,0,1191,64,740,187,76,33,0,560,6247,1138,1229,2620,38,1148,9,93
6003,0,1308,76,959,191,75,28,0,443,4766,221,985,5035,27,2249,23,116
6004,0,1672,21,523,77,39,21,0,820,2856,401,747,2065,25,544,8,38
6005,0,960,39,672,123,46,46,0,127,4516,356,730,2637,25,1272,8,60
6006,0,886,35,518,211,37,23,0,316,3572,2853,909,3088,25,1139,7,41
6007,0,773,67,268,105,12,86,0,186,2575,1828,383,1655,13,912,8,27
6008,0,729,36,310,137,22,13,0,521,2534,372,475,3476,15,818,9,28
6009,0,626,60,1464,128,7,7,0,28,721,59,295,1652,4,409,8,14
6010,0,722,22,1002,326,12,10,0,106,1591,75,1455,3387,11,944,38,30
6011,0,628,21,2459,130,28,9,0,244,1727,296,398,2307,14,1104,19,24
7001,0,1919,53,408,199,36,58,0,992,4997,563,920,3037,65,863,11,46
7002,0,1533,43,590,284,39,132,0,296,5527,2098,1083,3405,54,1654,31,109
7003,0,943,65,486,164,34,41,0,387,4072,589,880,1967,26,1241,16,66
7004,0,1397,21,989,157,25,137,0,97,2037,209,667,1635,31,501,14,41
7005,0,948,31,405,344,31,222,0,149,3035,955,664,3170,31,1182,19,89
7006,0,1137,40,786,683,30,558,0,192,3810,409,843,3065,40,977,27,87
7007,0,790,49,306,539,24,184,0,175,3129,1785,627,2381,36,827,26,66
7008,0,851,44,464,256,35,169,0,154,2104,131,360,3143,32,1340,14,79
7009,0,1130,37,431,409,34,231,0,168,2369,209,599,3165,41,982,28,91
7010,0,1107,29,587,566,33,232,0,126,2743,294,546,3610,23,1142,16,74
7011,0,1130,39,300,433,28,417,0,130,2199,134,489,2801,30,954,9,71
8001,0,599,77,937,122,42,32,0,1175,2936,1847,573,1951,33,580,98,66
8002,0,788,73,275,84,26,24,0,986,2635,158,750,1386,17,1282,3,82
8003,0,1953,29,544,85,13,27,0,212,2179,941,462,2025,23,415,46,29
8004,0,780,71,1737,185,82,124,0,822,4063,1075,1294,3561,70,713,68,33
8005,0,653,183,1685,144,41,26,0,445,4162,1721,990,4619,37,1059,64,43
8006,0,795,69,358,106,51,33,0,347,2944,359,798,3752,25,777,43,46
8007,0,556,46,1272,106,19,72,0,260,2874,1081,468,1402,30,292,16,18
8008,0,734,24,300,240,16,157,0,131,3503,1196,578,1678,21,832,39,35
8009,0,539,56,599,204,35,121,0,607,5374,547,778,1919,36,533,6,70
8010,0,833,16,634,194,19,140,0,205,3397,232,701,3237,35,821,18,175
8011,0,806,30,592,124,24,81,0,439,4203,996,721,2260,39,400,11,63
