OKRAJ,LDS in DeSUS,N.Si,SEG,SMS in ZELENI,SDS,NSD,SSN,SJN,DS,GŽS,SNS,ZLSD,SLS
3009,0.2516,0.1885,0.0089,0.0234,0.1577,0.0017,0.0033,0.0581,0.0029,0.0098,0.0367,0.2323,0.0251
3010,0.2218,0.2473,0.0064,0.0227,0.1985,0.0032,0.0036,0.0581,0.0026,0.0095,0.0328,0.1683,0.0253
3011,0.1954,0.3098,0.0062,0.0199,0.1929,0.0039,0.0038,0.0478,0.0018,0.0135,0.0366,0.1263,0.0421
4001,0.2459,0.1452,0.0047,0.0168,0.1427,0.0047,0.004,0.0151,0.0027,0.0114,0.06,0.2301,0.1168
4002,0.095,0.2772,0.0037,0.0054,0.1748,0.0024,0.0029,0.0142,0.0012,0.0081,0.0309,0.0874,0.2968
4003,0.1472,0.2994,0.0039,0.0137,0.2854,0.005,0.0039,0.0238,0.0014,0.0103,0.0293,0.0832,0.0932
4004,0.2135,0.232,0.0056,0.0248,0.174,0.0017,0.0036,0.0262,0.0007,0.0092,0.0497,0.1094,0.1495
4005,0.2079,0.2689,0.0047,0.0239,0.2045,0.0031,0.0049,0.0402,0.0017,0.012,0.0449,0.1317,0.0516
4006,0.2436,0.2056,0.0081,0.0326,0.139,0.006,0.0051,0.0711,0.0015,0.0099,0.0553,0.1981,0.0242
4007,0.2523,0.2147,0.007,0.0232,0.1684,0.0026,0.0068,0.0472,0.0007,0.0081,0.0395,0.1985,0.0311
4008,0.215,0.2539,0.0056,0.0238,0.1802,0.0046,0.0032,0.055,0.0023,0.0076,0.0325,0.1747,0.0416
4009,0.258,0.1894,0.0088,0.0221,0.1626,0.0032,0.0028,0.0614,0.0012,0.01,0.0413,0.2168,0.0223
4010,0.1804,0.3576,0.0036,0.0176,0.1728,0.0027,0.0034,0.0352,0.003,0.0132,0.0432,0.0969,0.0705
4011,0.2171,0.3071,0.0055,0.0204,0.1639,0.0039,0.0031,0.0534,0.0036,0.007,0.0439,0.1356,0.0354
5001,0.1962,0.2021,0.0056,0.0355,0.1736,0.0029,0.0029,0.0253,0.0035,0.0144,0.0558,0.0943,0.188
5002,0.2331,0.2079,0.0049,0.0234,0.2042,0.0044,0.0031,0.0275,0.0035,0.0105,0.0591,0.1029,0.1155
5003,0.2631,0.1652,0.0047,0.0171,0.1752,0.0027,0.001,0.0361,0.0018,0.0102,0.043,0.1675,0.1122
5004,0.2664,0.1937,0.0041,0.022,0.1951,0.0034,0.0036,0.0378,0.0029,0.0116,0.0686,0.1149,0.0759
5005,0.2456,0.2073,0.0053,0.0163,0.2005,0.0039,0.002,0.029,0.0035,0.0122,0.0604,0.1022,0.1118
5006,0.194,0.2513,0.0063,0.0223,0.1929,0.0018,0.0018,0.027,0.0027,0.0135,0.0573,0.0775,0.1517
5007,0.2514,0.181,0.005,0.0272,0.1731,0.0022,0.0074,0.0319,0.002,0.0151,0.049,0.2008,0.0537
5008,0.2149,0.2207,0.0054,0.0239,0.2138,0.0036,0.0103,0.0281,0.0036,0.013,0.0583,0.1351,0.0695
5009,0.2328,0.2137,0.0071,0.0235,0.172,0.0029,0.0053,0.0423,0.0021,0.0132,0.0658,0.1604,0.0589
5010,0.217,0.2189,0.0056,0.0189,0.2094,0.0034,0.0027,0.0327,0.0061,0.0136,0.0648,0.1535,0.0535
5011,0.2212,0.17,0.005,0.0272,0.1834,0.0036,0.0032,0.0283,0.0134,0.0149,0.0894,0.1284,0.1121
6001,0.2737,0.2102,0.006,0.0204,0.1314,0.0036,0.0018,0.0111,0.0073,0.0119,0.0575,0.14,0.1251
6002,0.2655,0.2513,0.006,0.0175,0.1747,0.0027,0.0029,0.026,0.0022,0.012,0.0549,0.1021,0.0823
6003,0.264,0.2878,0.0051,0.0151,0.1684,0.0015,0.0012,0.0236,0.0023,0.0083,0.0437,0.1014,0.0776
6004,0.1796,0.4331,0.0043,0.0132,0.1222,0.0066,0.0015,0.0175,0.002,0.0068,0.0364,0.0797,0.0971
6005,0.2788,0.1694,0.0028,0.0226,0.2178,0.0034,0.0032,0.043,0.0021,0.0125,0.0574,0.1088,0.0782
6006,0.2262,0.2342,0.0046,0.0175,0.1697,0.0033,0.002,0.0421,0.0029,0.0095,0.0598,0.1053,0.123
6007,0.2213,0.2517,0.0043,0.0111,0.1905,0.003,0.0038,0.0302,0.0038,0.013,0.0527,0.093,0.1215
6008,0.2229,0.2171,0.0073,0.0258,0.1731,0.0053,0.0038,0.0238,0.002,0.0116,0.0564,0.1458,0.1051
6009,0.4223,0.0734,0.0064,0.0251,0.0935,0.0347,0.0032,0.0228,0.0032,0.0128,0.0848,0.1742,0.0438
6010,0.3089,0.1312,0.0063,0.0205,0.1255,0.0054,0.0027,0.0392,0.0029,0.01,0.1404,0.1738,0.0332
6011,0.3445,0.1896,0.0031,0.024,0.1336,0.0042,0.0021,0.0242,0.0016,0.0115,0.0544,0.1216,0.0857
7001,0.1851,0.1537,0.0053,0.0205,0.1581,0.0031,0.0033,0.0214,0.0031,0.0115,0.0486,0.0832,0.3032
7002,0.2016,0.199,0.0066,0.0434,0.2121,0.0017,0.0024,0.032,0.0018,0.0152,0.0674,0.107,0.1098
7003,0.1964,0.2015,0.0121,0.0262,0.2299,0.0031,0.0026,0.0251,0.0015,0.0125,0.0629,0.0897,0.1364
7004,0.2303,0.1654,0.0053,0.0243,0.1968,0.0039,0.0035,0.0501,0.0049,0.0152,0.0892,0.1294,0.0818
7005,0.2307,0.1715,0.0041,0.0264,0.1855,0.0014,0.0025,0.0415,0.0034,0.0128,0.0757,0.1665,0.078
7006,0.2183,0.2086,0.0072,0.0223,0.2044,0.0028,0.0037,0.0405,0.0019,0.0151,0.086,0.1121,0.0772
7007,0.1942,0.2265,0.0066,0.0204,0.203,0.0022,0.0033,0.0351,0.0036,0.0141,0.0829,0.0945,0.1135
7008,0.2449,0.2001,0.0075,0.0246,0.1645,0.0031,0.0017,0.0508,0.0019,0.0157,0.0573,0.2009,0.027
7009,0.2668,0.1775,0.0085,0.0259,0.1697,0.0032,0.0027,0.0411,0.0032,0.0162,0.0739,0.1757,0.0356
7010,0.2407,0.1652,0.0059,0.0336,0.1839,0.0023,0.0037,0.0572,0.0018,0.0112,0.0814,0.1784,0.0345
7011,0.2579,0.1702,0.0073,0.0241,0.1775,0.0016,0.0041,0.0452,0.0024,0.0179,0.0888,0.17,0.033
8001,0.2576,0.2342,0.0076,0.0715,0.141,0.0044,0.0039,0.0147,0.0021,0.0133,0.0476,0.0826,0.1194
8002,0.2394,0.2814,0.0049,0.031,0.118,0.0018,0.0036,0.02,0.0046,0.0151,0.064,0.0748,0.1416
8003,0.2754,0.2292,0.0061,0.0284,0.1288,0.0021,0.0021,0.0263,0.0045,0.0106,0.0571,0.0823,0.1471
8004,0.2783,0.1562,0.0064,0.029,0.1464,0.0035,0.0051,0.0202,0.0036,0.0123,0.067,0.0942,0.1779
8005,0.2623,0.2308,0.0055,0.0267,0.1384,0.0036,0.0009,0.0206,0.0021,0.012,0.0513,0.1219,0.1239
8006,0.2103,0.261,0.0056,0.0318,0.1042,0.0033,0.0043,0.026,0.0025,0.0127,0.0509,0.1645,0.1227
8007,0.199,0.2412,0.0065,0.0191,0.181,0.0048,0.0027,0.0231,0.0051,0.0136,0.066,0.0534,0.1844
8008,0.2077,0.2252,0.0084,0.0287,0.2052,0.0041,0.0022,0.0294,0.0037,0.0134,0.0759,0.1009,0.095
8009,0.1872,0.2584,0.0056,0.0294,0.1792,0.0022,0.0035,0.0274,0.0028,0.016,0.0661,0.0466,0.1757
8010,0.2705,0.2017,0.0028,0.0363,0.1941,0.0021,0.0014,0.042,0.0017,0.0128,0.0546,0.1243,0.0555
8011,0.1997,0.2388,0.0038,0.0426,0.1703,0.0019,0.0028,0.0249,0.0031,0.0127,0.063,0.0529,0.1835
