OKRAJ,Akacije,DeSUS,KDS,LDS,Lipa,LZ�PV,LPR,NPS,NSi,SDS,SLS+SMS,SNS,SD,SSN,ZARES,ZP,Zeleni
2002,0.0017,0.0728,0.0031,0.0507,0.0189,0.0075,0.0037,0.0,0.0178,0.1898,0.0134,0.0311,0.4673,0.0021,0.1123,0.0007,0.007
2003,0.0015,0.071,0.0026,0.0389,0.0204,0.0041,0.0063,0.0,0.0077,0.1903,0.0095,0.0356,0.4563,0.002,0.1433,0.0028,0.0078
2004,0.0064,0.0777,0.003,0.053,0.0192,0.0041,0.0046,0.0,0.0172,0.1774,0.0125,0.0276,0.4641,0.001,0.1211,0.0024,0.0085
2005,0.0028,0.055,0.0042,0.0453,0.0185,0.0047,0.0029,0.0,0.0216,0.232,0.0237,0.0702,0.3858,0.0022,0.1191,0.0047,0.0074
2006,0.0015,0.0784,0.0041,0.0651,0.0185,0.0031,0.0087,0.0,0.0147,0.2268,0.0176,0.0974,0.3786,0.002,0.0722,0.0038,0.0075
2007,0.001,0.0789,0.013,0.0199,0.008,0.0032,0.002,0.0,0.0197,0.3141,0.0671,0.077,0.3007,0.002,0.0856,0.0055,0.0024
2008,0.0016,0.0739,0.003,0.0339,0.017,0.0029,0.0023,0.0,0.0222,0.3182,0.058,0.036,0.3347,0.0016,0.0843,0.0055,0.0049
2009,0.0014,0.0707,0.0047,0.0436,0.0155,0.0016,0.0026,0.0,0.0349,0.3172,0.0228,0.0435,0.392,0.0016,0.0431,0.0008,0.004
2010,0.0022,0.0473,0.0056,0.0314,0.011,0.0027,0.0057,0.0,0.0207,0.2259,0.0103,0.0374,0.5184,0.0022,0.0739,0.002,0.0034
2011,0.0006,0.0486,0.0075,0.0239,0.0409,0.0038,0.0013,0.0,0.0657,0.4135,0.02,0.034,0.2586,0.0014,0.0747,0.0015,0.004
3001,0.0,0.0407,0.0171,0.0303,0.013,0.0053,0.0017,0.0011,0.0714,0.3215,0.042,0.0485,0.3264,0.002,0.0733,0.0013,0.0043
3002,0.0,0.0653,0.0038,0.0423,0.0137,0.0056,0.0044,0.0007,0.0323,0.3031,0.0259,0.0488,0.348,0.0016,0.0973,0.0015,0.0059
3003,0.0,0.0509,0.0029,0.0454,0.0141,0.0051,0.002,0.0008,0.0494,0.3293,0.0526,0.056,0.2957,0.0027,0.0874,0.0011,0.0046
3004,0.0,0.0508,0.0052,0.043,0.0179,0.0044,0.0018,0.0016,0.0261,0.2799,0.0103,0.0351,0.3979,0.0022,0.1153,0.0033,0.0052
3005,0.0,0.0525,0.0025,0.0546,0.0168,0.0061,0.0014,0.0004,0.024,0.2308,0.0107,0.0292,0.4311,0.0006,0.1295,0.0047,0.0051
3006,0.0,0.0447,0.0028,0.0364,0.0172,0.0066,0.0021,0.0011,0.0783,0.3298,0.0139,0.0377,0.3307,0.0017,0.0905,0.0019,0.0047
3007,0.0,0.0384,0.0032,0.0481,0.0126,0.0063,0.0011,0.0015,0.0449,0.2044,0.012,0.0227,0.4859,0.0023,0.1082,0.0023,0.0061
3008,0.0,0.0498,0.0033,0.0885,0.0237,0.0037,0.002,0.0009,0.0225,0.1896,0.0075,0.0278,0.4535,0.0025,0.1172,0.0021,0.0054
3009,0.0,0.0516,0.0025,0.0499,0.0162,0.0047,0.0013,0.0011,0.0247,0.2065,0.0067,0.0237,0.4642,0.0008,0.139,0.0021,0.0049
3010,0.0,0.0463,0.0037,0.0443,0.02,0.0057,0.0016,0.0008,0.0306,0.2495,0.008,0.0335,0.4309,0.0017,0.1154,0.0029,0.0051
3011,0.0,0.051,0.0122,0.0392,0.0189,0.0054,0.0019,0.0019,0.0362,0.2945,0.0417,0.0437,0.3365,0.0023,0.1063,0.0028,0.0055
4001,0.0,0.0431,0.002,0.0489,0.0082,0.0024,0.0008,0.0014,0.0173,0.1745,0.0647,0.0491,0.4662,0.0047,0.1124,0.0007,0.0036
4002,0.0,0.0575,0.014,0.0223,0.0117,0.0032,0.0022,0.0,0.0421,0.4829,0.0301,0.0498,0.1857,0.0026,0.0905,0.0027,0.0027
4003,0.0,0.0361,0.0039,0.0499,0.0114,0.0042,0.0031,0.0012,0.0329,0.5108,0.027,0.0436,0.201,0.0035,0.0653,0.0021,0.0039
4004,0.0,0.0703,0.0037,0.0313,0.0133,0.005,0.0013,0.0016,0.0219,0.3194,0.0787,0.0667,0.2368,0.0031,0.1419,0.0014,0.0035
4005,0.0,0.0624,0.0056,0.0473,0.0209,0.0049,0.0043,0.0013,0.0293,0.2867,0.027,0.0454,0.3504,0.0025,0.1064,0.0016,0.0041
4006,0.0,0.0617,0.0028,0.058,0.0531,0.0054,0.0033,0.0012,0.0192,0.159,0.0097,0.0305,0.478,0.0024,0.1098,0.0013,0.0044
4007,0.0,0.0576,0.004,0.0543,0.0343,0.0045,0.0022,0.0016,0.0275,0.2164,0.0114,0.0289,0.4304,0.0031,0.1167,0.0025,0.0045
4008,0.0,0.0602,0.003,0.0375,0.0189,0.0043,0.0027,0.0012,0.0314,0.2591,0.011,0.0297,0.3775,0.0017,0.1555,0.0021,0.0041
4009,0.0,0.0524,0.0025,0.0471,0.0214,0.0061,0.0025,0.0015,0.0279,0.1969,0.0074,0.0266,0.4237,0.0038,0.1742,0.0019,0.0039
4010,0.0,0.0496,0.0056,0.0521,0.019,0.0038,0.0031,0.0013,0.0591,0.3113,0.0452,0.0546,0.2893,0.0029,0.0947,0.0034,0.0052
4011,0.0,0.0549,0.0035,0.0445,0.0191,0.0045,0.0026,0.001,0.041,0.2703,0.0186,0.0487,0.3296,0.0024,0.15,0.0039,0.0054
5001,0.0,0.0746,0.0032,0.0313,0.0091,0.0028,0.0053,0.0,0.037,0.4024,0.1332,0.062,0.1658,0.0021,0.0648,0.0022,0.0042
5002,0.0,0.0922,0.0049,0.0384,0.0174,0.0029,0.0054,0.0,0.0177,0.3122,0.1241,0.0608,0.2256,0.0023,0.0879,0.0027,0.0055
5003,0.0,0.0849,0.0033,0.0367,0.0134,0.0035,0.0028,0.0,0.0097,0.2182,0.156,0.0427,0.3131,0.0027,0.104,0.0016,0.0074
5004,0.0,0.1577,0.0021,0.0443,0.0123,0.0031,0.0019,0.0,0.0212,0.3135,0.0266,0.063,0.2143,0.0029,0.1302,0.0011,0.0059
5005,0.0,0.1005,0.0054,0.0502,0.0132,0.0043,0.0025,0.0,0.0532,0.3265,0.0426,0.0585,0.2441,0.0043,0.0894,0.001,0.0041
5006,0.0,0.0948,0.0026,0.0311,0.0155,0.0034,0.0038,0.0,0.0345,0.3298,0.1852,0.0664,0.1624,0.0027,0.0612,0.0006,0.006
5007,0.0,0.0781,0.0021,0.0288,0.0119,0.0027,0.0031,0.0,0.0172,0.2463,0.0153,0.0469,0.3742,0.0036,0.1668,0.0,0.003
5008,0.0,0.0867,0.0029,0.0346,0.0106,0.0027,0.0037,0.0,0.0375,0.3597,0.0214,0.0644,0.2864,0.0042,0.0819,0.0,0.0035
5009,0.0,0.1897,0.0021,0.0277,0.0206,0.0019,0.0056,0.0,0.0223,0.2443,0.0451,0.0866,0.2893,0.0019,0.06,0.0,0.0031
5010,0.0,0.0596,0.0057,0.0437,0.0182,0.0022,0.0039,0.0,0.0203,0.3404,0.0161,0.0641,0.2883,0.0023,0.1286,0.0028,0.0037
5011,0.0,0.0824,0.0028,0.0494,0.0269,0.0026,0.0073,0.0,0.011,0.2823,0.0516,0.1036,0.3244,0.0019,0.0493,0.0,0.0046
6001,0.0,0.0932,0.0026,0.0267,0.0073,0.0022,0.002,0.0,0.0352,0.1925,0.1931,0.0427,0.3248,0.004,0.0688,0.0013,0.0038
6002,0.0,0.0775,0.0042,0.0481,0.0122,0.0049,0.0021,0.0,0.0364,0.4064,0.074,0.0799,0.1704,0.0025,0.0747,0.0006,0.006
6003,0.0,0.0793,0.0046,0.0581,0.0116,0.0045,0.0017,0.0,0.0268,0.2888,0.0134,0.0597,0.3051,0.0016,0.1363,0.0014,0.007
6004,0.0,0.1696,0.0021,0.0531,0.0078,0.004,0.0021,0.0,0.0832,0.2897,0.0407,0.0758,0.2095,0.0025,0.0552,0.0008,0.0039
6005,0.0,0.0826,0.0034,0.0578,0.0106,0.004,0.004,0.0,0.0109,0.3887,0.0306,0.0628,0.227,0.0022,0.1095,0.0007,0.0052
6006,0.0,0.0649,0.0026,0.0379,0.0154,0.0027,0.0017,0.0,0.0231,0.2615,0.2089,0.0665,0.2261,0.0018,0.0834,0.0005,0.003
6007,0.0,0.0869,0.0075,0.0301,0.0118,0.0013,0.0097,0.0,0.0209,0.2894,0.2054,0.043,0.186,0.0015,0.1025,0.0009,0.003
6008,0.0,0.0768,0.0038,0.0326,0.0144,0.0023,0.0014,0.0,0.0549,0.2669,0.0392,0.05,0.3661,0.0016,0.0862,0.0009,0.0029
6009,0.0,0.1142,0.0109,0.2671,0.0233,0.0013,0.0013,0.0,0.0051,0.1315,0.0108,0.0538,0.3013,0.0007,0.0746,0.0015,0.0026
6010,0.0,0.0742,0.0023,0.103,0.0335,0.0012,0.001,0.0,0.0109,0.1635,0.0077,0.1495,0.3481,0.0011,0.097,0.0039,0.0031
6011,0.0,0.0668,0.0022,0.2614,0.0138,0.003,0.001,0.0,0.0259,0.1836,0.0315,0.0423,0.2452,0.0015,0.1173,0.002,0.0026
7001,0.0,0.1355,0.0037,0.0288,0.014,0.0025,0.0041,0.0,0.07,0.3527,0.0397,0.0649,0.2144,0.0046,0.0609,0.0008,0.0032
7002,0.0,0.0908,0.0025,0.035,0.0168,0.0023,0.0078,0.0,0.0175,0.3275,0.1243,0.0642,0.2017,0.0032,0.098,0.0018,0.0065
7003,0.0,0.0859,0.0059,0.0443,0.0149,0.0031,0.0037,0.0,0.0353,0.371,0.0537,0.0802,0.1792,0.0024,0.1131,0.0015,0.006
7004,0.0,0.1755,0.0026,0.1243,0.0197,0.0031,0.0172,0.0,0.0122,0.256,0.0263,0.0838,0.2055,0.0039,0.063,0.0018,0.0052
7005,0.0,0.0841,0.0027,0.0359,0.0305,0.0027,0.0197,0.0,0.0132,0.2692,0.0847,0.0589,0.2812,0.0027,0.1048,0.0017,0.0079
7006,0.0,0.0896,0.0032,0.062,0.0538,0.0024,0.044,0.0,0.0151,0.3004,0.0322,0.0665,0.2416,0.0032,0.077,0.0021,0.0069
7007,0.0,0.0722,0.0045,0.028,0.0493,0.0022,0.0168,0.0,0.016,0.2859,0.1631,0.0573,0.2176,0.0033,0.0756,0.0024,0.006
7008,0.0,0.0927,0.0048,0.0506,0.0279,0.0038,0.0184,0.0,0.0168,0.2293,0.0143,0.0392,0.3425,0.0035,0.146,0.0015,0.0086
7009,0.0,0.1139,0.0037,0.0434,0.0412,0.0034,0.0233,0.0,0.0169,0.2387,0.0211,0.0604,0.3189,0.0041,0.099,0.0028,0.0092
7010,0.0,0.0995,0.0026,0.0527,0.0509,0.003,0.0208,0.0,0.0113,0.2465,0.0264,0.0491,0.3244,0.0021,0.1026,0.0014,0.0066
7011,0.0,0.1233,0.0043,0.0327,0.0473,0.0031,0.0455,0.0,0.0142,0.24,0.0146,0.0534,0.3057,0.0033,0.1041,0.001,0.0077
8001,0.0,0.0541,0.007,0.0847,0.011,0.0038,0.0029,0.0,0.1062,0.2653,0.1669,0.0518,0.1763,0.003,0.0524,0.0089,0.006
8002,0.0,0.092,0.0085,0.0321,0.0098,0.003,0.0028,0.0,0.1151,0.3075,0.0184,0.0875,0.1617,0.002,0.1496,0.0004,0.0096
8003,0.0,0.2174,0.0032,0.0606,0.0095,0.0014,0.003,0.0,0.0236,0.2426,0.1048,0.0514,0.2254,0.0026,0.0462,0.0051,0.0032
8004,0.0,0.0531,0.0048,0.1183,0.0126,0.0056,0.0084,0.0,0.056,0.2768,0.0732,0.0882,0.2426,0.0048,0.0486,0.0046,0.0022
8005,0.0,0.0411,0.0115,0.1062,0.0091,0.0026,0.0016,0.0,0.028,0.2622,0.1084,0.0624,0.291,0.0023,0.0667,0.004,0.0027
8006,0.0,0.0757,0.0066,0.0341,0.0101,0.0049,0.0031,0.0,0.033,0.2803,0.0342,0.076,0.3572,0.0024,0.074,0.0041,0.0044
8007,0.0,0.0653,0.0054,0.1494,0.0125,0.0022,0.0085,0.0,0.0305,0.3376,0.127,0.055,0.1647,0.0035,0.0343,0.0019,0.0021
8008,0.0,0.0774,0.0025,0.0316,0.0253,0.0017,0.0166,0.0,0.0138,0.3694,0.1261,0.0609,0.1769,0.0022,0.0877,0.0041,0.0037
8009,0.0,0.0472,0.0049,0.0524,0.0179,0.0031,0.0106,0.0,0.0531,0.4704,0.0479,0.0681,0.168,0.0032,0.0467,0.0005,0.0061
8010,0.0,0.0782,0.0015,0.0595,0.0182,0.0018,0.0131,0.0,0.0192,0.3188,0.0218,0.0658,0.3037,0.0033,0.077,0.0017,0.0164
8011,0.0,0.0747,0.0028,0.0549,0.0115,0.0022,0.0075,0.0,0.0407,0.3896,0.0923,0.0668,0.2095,0.0036,0.0371,0.001,0.0058
