OKRAJ,Akacije,DSD,DeSUS,LGV,GZS,LDS,LZJ - PS,NPS,NSi,SD,SDS,SNS,SLS,SMS Zeleni,SSN,SEM-Si,Humana,TRS,ZARES,Zeleni
2003,0.0019,0.0051,0.0857,0.0805,0.0032,0.0131,0.3671,0.0,0.0183,0.1825,0.1496,0.0127,0.0294,0.0089,0.0018,0.0012,0.001,0.0194,0.0128,0.0056
2004,0.0033,0.0059,0.0834,0.0783,0.0032,0.0115,0.382,0.0,0.025,0.1676,0.1523,0.0105,0.0201,0.0076,0.0016,0.0016,0.0019,0.023,0.0148,0.0061
2005,0.0025,0.0085,0.0936,0.0857,0.002,0.0114,0.3071,0.0,0.0363,0.1612,0.1962,0.0207,0.0323,0.0063,0.0019,0.004,0.0007,0.0158,0.0085,0.0051
2006,0.0021,0.0106,0.0871,0.0831,0.0029,0.0139,0.2749,0.0,0.0266,0.216,0.1871,0.0153,0.0363,0.0094,0.0036,0.0013,0.0014,0.016,0.0067,0.0058
2007,0.0014,0.0081,0.1079,0.1002,0.0021,0.0097,0.2501,0.0,0.0314,0.1153,0.2638,0.0168,0.0516,0.0051,0.0026,0.0011,0.0015,0.01,0.0174,0.004
2008,0.0012,0.0046,0.0541,0.0829,0.0024,0.0108,0.3247,0.0,0.0456,0.0982,0.2803,0.0094,0.0524,0.0045,0.0018,0.0006,0.0008,0.0163,0.0061,0.0032
2009,0.0008,0.0073,0.0593,0.0841,0.0051,0.0134,0.1993,0.0,0.0665,0.2199,0.2612,0.0129,0.0384,0.0088,0.0022,0.0016,0.0008,0.0111,0.0035,0.0036
2010,0.001,0.0049,0.0467,0.0725,0.0044,0.0086,0.2668,0.0,0.0398,0.2888,0.1851,0.0138,0.0238,0.0064,0.0009,0.0018,0.0013,0.0189,0.0109,0.0033
2011,0.0004,0.0302,0.0565,0.0957,0.0012,0.0065,0.164,0.0,0.1142,0.1327,0.3093,0.0073,0.0535,0.012,0.0019,0.0012,0.0004,0.0087,0.0023,0.0022
3001,0.0,0.0043,0.0415,0.0958,0.0033,0.0115,0.2899,0.0059,0.084,0.0818,0.2885,0.0116,0.0559,0.0097,0.0,0.0026,0.0,0.0,0.0139,0.0
3002,0.0,0.0044,0.0505,0.0864,0.0051,0.0072,0.3661,0.0056,0.0574,0.0956,0.2357,0.0147,0.0548,0.0097,0.0,0.0035,0.0,0.0,0.0032,0.0
3003,0.0,0.0039,0.0408,0.0768,0.0033,0.0073,0.356,0.0048,0.0521,0.073,0.2854,0.0134,0.0694,0.0084,0.0,0.0019,0.0,0.0,0.0035,0.0
3004,0.0,0.0038,0.0301,0.0755,0.002,0.0073,0.4996,0.0028,0.0406,0.0805,0.1958,0.0109,0.0322,0.0097,0.0,0.0039,0.0,0.0,0.0054,0.0
3005,0.0,0.0053,0.0398,0.0793,0.0029,0.0072,0.4667,0.0047,0.038,0.1077,0.1911,0.0088,0.0257,0.0095,0.0,0.0043,0.0,0.0,0.0091,0.0
3006,0.0,0.0045,0.0394,0.0897,0.0042,0.008,0.3218,0.0043,0.0762,0.0845,0.2907,0.011,0.0462,0.0123,0.0,0.0029,0.0,0.0,0.0042,0.0
3007,0.0,0.0042,0.0297,0.0652,0.0038,0.0109,0.4805,0.0034,0.0503,0.124,0.1657,0.0079,0.0233,0.015,0.0,0.0038,0.0,0.0,0.0124,0.0
3008,0.0,0.005,0.0417,0.067,0.004,0.0146,0.5047,0.0056,0.0314,0.1116,0.1604,0.0115,0.0203,0.0116,0.0,0.0039,0.0,0.0,0.0067,0.0
3009,0.0,0.0046,0.0408,0.0692,0.0024,0.0082,0.4929,0.0032,0.034,0.1196,0.1662,0.0081,0.0272,0.012,0.0,0.0038,0.0,0.0,0.0077,0.0
3010,0.0,0.0063,0.0413,0.0766,0.0045,0.0079,0.4558,0.0043,0.046,0.0995,0.1976,0.0096,0.0314,0.0117,0.0,0.0035,0.0,0.0,0.004,0.0
3011,0.0,0.0061,0.0564,0.0867,0.007,0.0076,0.3596,0.0048,0.0615,0.0836,0.2428,0.0135,0.0527,0.0099,0.0,0.003,0.0,0.0,0.0049,0.0
4001,0.0,0.0055,0.0729,0.0815,0.0016,0.0094,0.3303,0.0014,0.029,0.2034,0.1595,0.0199,0.0357,0.0119,0.0011,0.0,0.0,0.0103,0.0233,0.0033
4002,0.0,0.0045,0.0409,0.0811,0.0013,0.0077,0.2008,0.0021,0.1091,0.061,0.3725,0.0146,0.0685,0.0041,0.0017,0.0,0.0,0.0067,0.0202,0.0032
4003,0.0,0.0055,0.0415,0.0631,0.001,0.0099,0.2276,0.0014,0.0515,0.0584,0.4522,0.0126,0.0516,0.004,0.0009,0.0,0.0,0.0114,0.004,0.0033
4004,0.0,0.0059,0.0604,0.0655,0.0074,0.0107,0.2929,0.0021,0.0418,0.0761,0.2737,0.0198,0.1119,0.0053,0.0013,0.0,0.0,0.0078,0.0151,0.0026
4005,0.0,0.0048,0.0502,0.0709,0.0019,0.0078,0.42,0.0017,0.0505,0.0739,0.2294,0.0118,0.0479,0.004,0.0011,0.0,0.0,0.0168,0.0038,0.0036
4006,0.0,0.0029,0.0526,0.0535,0.0017,0.0103,0.5716,0.0019,0.0307,0.0791,0.1279,0.0103,0.0187,0.005,0.0009,0.0,0.0,0.0259,0.0034,0.0037
4007,0.0,0.004,0.0437,0.058,0.0026,0.0116,0.5104,0.0022,0.0358,0.0863,0.1725,0.0099,0.0269,0.0044,0.0015,0.0,0.0,0.0202,0.0058,0.0042
4008,0.0,0.0038,0.0436,0.0725,0.0022,0.0106,0.438,0.0012,0.0517,0.0972,0.1965,0.0108,0.0336,0.0065,0.0019,0.0,0.0,0.0231,0.0033,0.0034
4009,0.0,0.0041,0.0414,0.0648,0.0022,0.0118,0.4945,0.0018,0.0311,0.1119,0.1612,0.0096,0.0214,0.006,0.0007,0.0,0.0,0.026,0.0072,0.0044
4010,0.0,0.0041,0.0507,0.1159,0.0019,0.0128,0.3059,0.0011,0.0901,0.0793,0.2355,0.0146,0.0616,0.0051,0.0012,0.0,0.0,0.0121,0.0027,0.0055
4011,0.0,0.0029,0.0584,0.0894,0.0023,0.0101,0.3963,0.0014,0.0623,0.089,0.2052,0.0114,0.0402,0.0056,0.0009,0.0,0.0,0.0174,0.003,0.0042
5001,0.0,0.0055,0.0872,0.1001,0.0014,0.0272,0.1514,0.0,0.037,0.0718,0.3787,0.0165,0.0746,0.0055,0.0,0.0012,0.0,0.0313,0.0032,0.0075
5002,0.0,0.009,0.0877,0.0935,0.0031,0.0218,0.221,0.0,0.0378,0.0895,0.3196,0.0199,0.0671,0.0046,0.0,0.0021,0.0,0.0144,0.004,0.0047
5003,0.0,0.0082,0.0873,0.0927,0.0035,0.0113,0.301,0.0,0.0242,0.1259,0.2416,0.0149,0.0479,0.0073,0.0,0.0037,0.0,0.0194,0.005,0.0061
5004,0.0,0.0056,0.1413,0.0858,0.0015,0.0147,0.2172,0.0,0.0272,0.0886,0.3223,0.0189,0.0505,0.0056,0.0,0.0009,0.0,0.0105,0.0038,0.0055
5005,0.0,0.0061,0.1036,0.0989,0.0027,0.0151,0.226,0.0,0.0626,0.0873,0.2945,0.0169,0.0604,0.0055,0.0,0.0016,0.0,0.0119,0.0026,0.0044
5006,0.0,0.0044,0.0558,0.1116,0.0009,0.0078,0.1718,0.0,0.0528,0.0625,0.3276,0.0138,0.1683,0.0054,0.0,0.0015,0.0,0.0104,0.0026,0.0031
5007,0.0,0.0043,0.0796,0.0638,0.0013,0.01,0.3023,0.0,0.0271,0.142,0.2213,0.0121,0.1129,0.0028,0.0,0.0012,0.0,0.0143,0.0025,0.0025
5008,0.0,0.0046,0.0782,0.0503,0.001,0.0152,0.2059,0.0,0.0324,0.0893,0.2839,0.0159,0.2046,0.0027,0.0,0.0009,0.0,0.0102,0.0028,0.0021
5009,0.0,0.0046,0.0678,0.1004,0.0012,0.007,0.2812,0.0,0.0422,0.0983,0.2624,0.0341,0.0626,0.0046,0.0,0.0014,0.0,0.0194,0.0097,0.0032
5010,0.0,0.0085,0.0796,0.1039,0.0015,0.0107,0.2387,0.0,0.0377,0.126,0.3014,0.0243,0.0405,0.0048,0.0,0.0013,0.0,0.0124,0.0044,0.0044
5011,0.0,0.0088,0.0965,0.1151,0.0027,0.013,0.1843,0.0,0.0323,0.0823,0.3172,0.0436,0.0712,0.006,0.0,0.0015,0.0,0.0149,0.0074,0.0034
6001,0.0,0.0074,0.078,0.0447,0.0014,0.0385,0.3344,0.0,0.0735,0.0896,0.1983,0.0155,0.0868,0.0119,0.0,0.0012,0.0,0.0096,0.0065,0.0026
6002,0.0,0.0098,0.0611,0.0741,0.007,0.0182,0.1721,0.0,0.0583,0.0681,0.393,0.0316,0.0803,0.0086,0.0,0.0017,0.0,0.0079,0.0043,0.004
6003,0.0,0.0065,0.085,0.0846,0.0023,0.0141,0.3238,0.0,0.0515,0.0814,0.2492,0.0276,0.0424,0.0045,0.0,0.0015,0.0,0.0108,0.0104,0.0044
6004,0.0,0.0398,0.0477,0.0776,0.0034,0.017,0.201,0.0,0.0715,0.0701,0.3442,0.0193,0.0759,0.0159,0.0,0.0012,0.0,0.0105,0.0015,0.0032
6005,0.0,0.0093,0.0693,0.0576,0.0018,0.0197,0.288,0.0,0.0297,0.0754,0.3599,0.0184,0.0375,0.0096,0.0,0.0006,0.0,0.0139,0.0045,0.0047
6006,0.0,0.0064,0.0623,0.0665,0.005,0.0155,0.2275,0.0,0.0362,0.0643,0.2591,0.028,0.2025,0.0079,0.0,0.001,0.0,0.0108,0.0044,0.0025
6007,0.0,0.0122,0.0977,0.059,0.0016,0.0113,0.2089,0.0,0.0274,0.0603,0.3364,0.0199,0.1387,0.0056,0.0,0.0007,0.0,0.015,0.0019,0.0035
6008,0.0,0.0053,0.0826,0.0915,0.0024,0.015,0.1479,0.0,0.0611,0.2216,0.2679,0.0139,0.0633,0.0068,0.0,0.0011,0.0,0.0125,0.0036,0.0033
6009,0.0,0.0142,0.1069,0.0679,0.0013,0.0899,0.4028,0.0,0.0097,0.112,0.124,0.0189,0.0234,0.0145,0.0,0.0015,0.0,0.0096,0.002,0.0015
6010,0.0,0.0168,0.0868,0.06,0.0023,0.0241,0.3449,0.0,0.023,0.1259,0.1914,0.072,0.0204,0.0033,0.0,0.0012,0.0,0.0147,0.0107,0.0025
6011,0.0,0.01,0.093,0.0973,0.0043,0.0297,0.3208,0.0,0.0433,0.1108,0.1774,0.0175,0.0472,0.0117,0.0,0.0022,0.0,0.021,0.0107,0.0032
7001,0.0,0.0047,0.097,0.0782,0.0012,0.0113,0.1962,0.0015,0.0699,0.0724,0.3458,0.0205,0.077,0.004,0.0013,0.0019,0.0012,0.009,0.0036,0.0033
7002,0.0,0.0043,0.095,0.0959,0.0009,0.007,0.171,0.0015,0.0302,0.108,0.3419,0.0154,0.0954,0.0067,0.0012,0.0019,0.0013,0.0095,0.0089,0.0042
7003,0.0,0.0055,0.0845,0.082,0.0008,0.0092,0.1924,0.0014,0.0531,0.0797,0.3461,0.0206,0.0929,0.0046,0.0022,0.0011,0.0,0.0077,0.0117,0.0045
7004,0.0,0.0077,0.1147,0.1121,0.0014,0.0491,0.1728,0.0,0.0236,0.1062,0.2939,0.0234,0.061,0.0141,0.0011,0.0014,0.001,0.0107,0.0022,0.0034
7005,0.0,0.0079,0.0836,0.1086,0.0009,0.0122,0.2149,0.0014,0.0246,0.1308,0.2758,0.0253,0.0709,0.013,0.0006,0.0014,0.0018,0.0182,0.0032,0.0049
7006,0.0,0.0061,0.0933,0.1085,0.0077,0.0094,0.2022,0.0011,0.0262,0.1121,0.2987,0.0288,0.0705,0.0087,0.0012,0.0013,0.0007,0.011,0.0075,0.0049
7007,0.0,0.0065,0.0754,0.0951,0.0026,0.0074,0.1734,0.0059,0.026,0.0897,0.3245,0.0228,0.1395,0.0093,0.0009,0.0013,0.0009,0.0119,0.0022,0.0047
7008,0.0,0.0065,0.078,0.0983,0.001,0.0122,0.2908,0.0,0.0241,0.1505,0.2311,0.0172,0.0337,0.0088,0.0015,0.0029,0.0012,0.0297,0.0053,0.0073
7009,0.0,0.0046,0.1026,0.0958,0.0026,0.0093,0.2726,0.0,0.0244,0.125,0.2549,0.0265,0.0362,0.0094,0.0028,0.0022,0.0015,0.0184,0.0054,0.0057
7010,0.0,0.0057,0.0968,0.1084,0.0009,0.0094,0.2714,0.0,0.0176,0.1335,0.2529,0.0246,0.0369,0.0112,0.0011,0.0012,0.0008,0.0177,0.0038,0.0059
7011,0.0,0.007,0.1084,0.096,0.0009,0.0084,0.2601,0.0,0.0217,0.1288,0.2705,0.0232,0.0376,0.0069,0.0009,0.0015,0.0013,0.0172,0.0041,0.0054
8001,0.0,0.0084,0.0575,0.0576,0.0013,0.0304,0.1843,0.0,0.0901,0.0686,0.2309,0.0139,0.2297,0.008,0.001,0.0022,0.0,0.0067,0.0071,0.0024
8002,0.0,0.0076,0.094,0.0932,0.0011,0.0279,0.191,0.0,0.0772,0.058,0.3144,0.0579,0.0539,0.0058,0.0012,0.0007,0.0,0.0083,0.003,0.0049
8003,0.0,0.0044,0.1901,0.0752,0.0027,0.0305,0.1513,0.0,0.0444,0.0878,0.2101,0.0177,0.149,0.0134,0.0009,0.0007,0.0,0.0096,0.0081,0.0038
8004,0.0,0.0045,0.0622,0.0601,0.002,0.0364,0.1566,0.0,0.0313,0.1752,0.2077,0.027,0.203,0.0082,0.0016,0.0027,0.0,0.008,0.0105,0.003
8005,0.0,0.0037,0.0513,0.0862,0.0036,0.0364,0.2215,0.0,0.0536,0.1324,0.2053,0.0194,0.1602,0.0057,0.0005,0.0009,0.0,0.0117,0.0051,0.0025
8006,0.0,0.0055,0.0901,0.0956,0.002,0.0252,0.158,0.0,0.0538,0.1432,0.2463,0.0277,0.0912,0.0145,0.0012,0.0017,0.0,0.011,0.0286,0.0044
8007,0.0,0.0056,0.059,0.1164,0.0023,0.0488,0.1214,0.0,0.0393,0.0784,0.3215,0.0233,0.1184,0.0437,0.0012,0.0012,0.0,0.0127,0.0021,0.0045
8008,0.0,0.0056,0.0755,0.0799,0.0016,0.0219,0.144,0.0,0.0307,0.0849,0.3906,0.026,0.054,0.0652,0.0019,0.001,0.0,0.0065,0.0033,0.0073
8009,0.0,0.0037,0.0707,0.1022,0.0017,0.026,0.132,0.0,0.0595,0.0586,0.321,0.0236,0.1794,0.0056,0.001,0.0012,0.0,0.0077,0.0026,0.0035
8010,0.0,0.0054,0.0776,0.0978,0.0027,0.0214,0.2221,0.0,0.0358,0.1104,0.3092,0.0187,0.055,0.0058,0.0012,0.0,0.0,0.019,0.0074,0.0104
8011,0.0,0.0058,0.0878,0.0961,0.0031,0.0291,0.1302,0.0,0.0413,0.0684,0.3601,0.018,0.1264,0.0152,0.0008,0.0,0.0,0.0072,0.0063,0.0043
